Hotel Name,Currency,Price,Properties
Hotel Pacific,USD,12,This property offers: | Free WiFi | Free fitness center access
Hotel Seven Star,USD,11,This property offers: | Parking | Express check-in | Free WiFi
Hotel Al Sarwar,USD,13,This property offers: | Free WiFi
Hotel Pacific,USD,7,This property offers: | Breakfast | Parking | Free WiFi
Hotel Rongdhanu Residential,USD,10,This property offers: | Free WiFi
Hotel Central Inn & Spa,USD,45,This property offers: | Free WiFi
Kompass Homestay - Affordable AC Room With Shared Bathroom in Naya Paltan Free WIFI,USD,7,This property offers: | Free WiFi
Hotel Surma Residential,USD,13,This property offers: | Express check-in | Free WiFi
Hotel Short Time Stay,USD,16,This property offers: | Parking | Express check-in | Free WiFi
Hotel Al-Hayat Abasik,USD,16,This property offers: | Free WiFi
Hotel As Shams International,USD,15,This property offers: | Breakfast | Parking | Free WiFi
Hotel Padma Residential Jatrabari,USD,15,This property offers: | Free WiFi
